Date,Open,High,Low,Close,Adj Close,Volume
2015-08-12,176.067001,177.332993,171.432999,173.266998,166.851227,3019948
2015-08-13,173.332993,176.266998,168.266998,172.399994,166.016312,5304867
2015-08-14,173.699997,176.199997,171.5,174.332993,167.877731,4573557
2015-08-17,174.667007,176.0,170.667007,174.632996,168.166626,2861506
2015-08-18,175.932999,176.266998,172.5,174.332993,167.877731,2291664
2015-08-19,173.567001,175.832993,172.0,174.832993,168.359222,2640196
2015-08-20,173.332993,174.332993,167.800003,168.632996,162.388809,3337749
2015-08-21,165.332993,167.132996,162.300003,165.899994,159.757004,4862601
2015-08-24,160.0,160.0,150.0,153.033005,147.36643999999998,7700613
2015-08-25,156.699997,157.533005,142.899994,154.0,148.297623,7787144
2015-08-26,154.0,161.867004,149.332993,160.100006,154.171783,6767295
2015-08-27,160.667007,161.266998,152.733002,154.399994,148.682816,15193254
2015-08-28,157.300003,159.766998,154.367004,156.399994,150.608749,4553430
2015-08-31,154.667007,155.199997,150.300003,150.966995,145.376938,4984796
2015-09-01,150.0,151.932999,143.399994,145.167007,139.791733,4612832
2015-09-02,146.533005,146.667007,136.832993,137.667007,132.569427,9685620
2015-09-03,139.632996,143.667007,138.399994,141.067001,135.843536,5739596
2015-09-04,139.932999,139.932999,136.0,137.466995,132.376846,4024624
2015-09-07,137.533005,138.932999,133.0,133.867004,128.910126,3853390
2015-09-08,134.0,142.600006,131.966995,141.399994,136.1642,6658378
2015-09-09,143.766998,145.5,141.199997,141.832993,136.581161,4061372
2015-09-10,138.0,145.667007,136.867004,144.699997,139.341995,6740938
2015-09-11,144.600006,145.266998,139.832993,140.466995,135.265747,4858846
2015-09-14,141.867004,142.800003,140.332993,142.167007,137.50976599999998,2754970
2015-09-15,141.667007,142.867004,140.067001,141.466995,136.832672,2474862
2015-09-16,142.600006,142.600006,138.466995,140.233002,135.639099,3766815
2015-09-18,142.132996,142.766998,137.5,138.832993,134.28495800000002,9861891
2015-09-21,137.932999,139.100006,137.100006,138.100006,133.575974,4349206
2015-09-22,139.0,140.0,133.533005,134.466995,130.061981,10681389
2015-09-23,133.266998,135.533005,131.466995,132.733002,128.384781,8094166
2015-09-24,132.667007,133.867004,128.733002,132.100006,127.77253700000001,12991047
2015-09-28,133.0,133.332993,129.399994,130.100006,125.838043,7430025
2015-09-29,128.667007,133.667007,128.0,131.466995,127.160271,6218846
2015-09-30,132.800003,137.832993,132.067001,137.033005,132.543945,5830041
2015-10-01,138.332993,138.332993,132.332993,132.899994,128.546326,9575920
2015-10-05,134.332993,136.600006,133.5,136.100006,131.641495,4260249
2015-10-06,137.332993,137.399994,131.332993,131.832993,127.51426699999999,9556252
2015-10-07,131.966995,135.5,131.600006,135.167007,130.739075,5840596
2015-10-08,136.0,137.466995,133.832993,135.867004,131.416122,5947794
2015-10-09,137.332993,137.667007,134.132996,134.600006,130.190628,5428452
2015-10-12,135.332993,139.167007,134.399994,137.0,132.512009,6266626
2015-10-13,138.632996,139.966995,137.432999,138.966995,134.414551,6056643
2015-10-14,139.332993,139.632996,136.199997,136.867004,132.383377,2821137
2015-10-15,137.300003,141.533005,137.0,141.199997,136.574432,6685029
2015-10-16,141.932999,142.667007,139.867004,142.432999,137.767029,4538222
2015-10-19,142.0,143.966995,140.800003,143.067001,138.380249,4873190
2015-10-20,143.733002,144.300003,140.932999,141.699997,137.058044,2694774
2015-10-21,141.733002,142.466995,138.432999,138.966995,134.414551,13240614
2015-10-23,140.667007,141.100006,138.800003,139.966995,135.381805,3923720
2015-10-26,140.932999,146.067001,139.667007,145.033005,140.281845,10507887
2015-10-27,144.867004,146.466995,142.233002,142.932999,138.250641,4415672
2015-10-28,141.632996,144.533005,140.932999,141.600006,136.961319,4082578
2015-10-29,141.466995,142.332993,134.832993,135.5,131.061142,10453106
2015-10-30,135.667007,136.266998,131.867004,132.567001,128.224213,6182628
2015-11-02,132.167007,135.167007,131.300003,133.466995,129.094727,4347640
2015-11-03,134.667007,134.800003,132.332993,134.033005,129.642212,4349130
2015-11-04,135.0,135.466995,133.332993,134.033005,129.642212,4195359
2015-11-05,134.167007,134.332993,128.399994,129.600006,125.354424,3902547
2015-11-06,129.332993,131.199997,122.733002,127.633003,123.45185900000001,14898504
2015-11-09,124.0,126.667,121.833,123.032997,119.00255600000001,12071524
2015-11-10,122.233002,122.633003,118.266998,118.932999,115.03685800000001,10597155
2015-11-13,119.300003,120.733002,117.766998,118.633003,114.746696,5715062
2015-11-16,118.067001,120.532997,117.333,118.967003,115.06975600000001,5717926
2015-11-17,119.733002,121.0,118.532997,119.199997,115.29511299999999,4590894
2015-11-18,119.133003,120.266998,116.032997,116.467003,112.651649,4475050
2015-11-19,117.333,117.599998,115.866997,117.199997,113.360626,3528210
2015-11-20,116.667,119.199997,116.300003,117.5,113.65081799999999,4231416
2015-11-23,118.333,119.333,116.400002,116.800003,112.97373999999999,3501584
2015-11-24,116.667,117.866997,115.5,115.900002,112.103226,3012870
2015-11-26,116.532997,117.199997,115.199997,115.567001,111.78112800000001,5429128
2015-11-27,115.900002,118.432999,115.900002,117.333,113.489273,3996300
2015-11-30,117.866997,118.866997,116.432999,116.667,112.84509299999999,5667532
2015-12-01,117.333,117.967003,116.400002,116.967003,113.135269,2684626
2015-12-02,117.599998,117.599998,115.099998,115.400002,111.619606,3313312
2015-12-03,114.633003,114.633003,112.067001,112.432999,108.749794,7294460
2015-12-04,111.300003,113.633003,110.800003,112.233002,108.556343,5337480
